commit	val_bpb	memory_gb	status	description
bfb708a	1.713068	3.6	keep	baseline: depth=6 dim=384 TOTAL_BATCH=2^19 61 steps
c75acbc	1.383263	3.6	keep	TOTAL_BATCH=2^17 grad_accum=4 -> 208 steps
4deb0ee	1.328316	3.6	keep	TOTAL_BATCH=2^16 grad_accum=2 -> 399 steps
c2c45c5	1.243952	3.5	keep	TOTAL_BATCH=2^15 grad_accum=1 -> 766 steps
55735bc	1.251848	1.9	discard	TOTAL_BATCH=2^14 batch=8 -> 1448 steps (too noisy)
9634dca	1.254648	3.5	discard	WARMDOWN_RATIO=0.2 (worse, need longer cooldown)
0870f35	1.415492	3.3	discard	DEPTH=8 batch=8 -> only 400 steps (too slow)
87ff309	1.247054	3.5	discard	Adam beta1=0.9 (marginal, revert)
0bd41b3	1.247672	3.5	discard	softcap=30 (marginal, revert)
c006737	1.251141	3.5	discard	VE on all layers (slightly worse, more params slow steps)
30e39e1	1.242773	3.5	keep	FINAL_LR_FRAC=0.1 (slight improvement)
3c09c4e	1.242383	3.5	keep	MATRIX_LR=0.05 (tiny improvement)
22649b1	1.247723	3.5	discard	MATRIX_LR=0.06 (too aggressive)
f70f55f	1.243447	3.5	discard	EMBEDDING_LR=0.8 (slight worse)
8ec390a	1.243314	3.5	discard	cosine LR decay in warmdown (no improvement)
671e70c	1.245374	2.7	discard	batch=12 1002 steps (16 still better)
44e97a9	1.252747	3.5	discard	HEAD_DIM=64 6heads (worse)
c9f9891	1.242980	3.5	discard	fixed Muon momentum=0.95 (no improvement)
bafda18	1.243366	2.3	discard	MQA n_kv_head=1 18.9M params (essentially same, revert)
f3f05e4	1.249307	3.5	discard	WINDOW_PATTERN=LLLL all long (fewer steps, worse)
0e1fb22	1.239125	3.5	keep	WEIGHT_DECAY=0.0 (regularization was hurting)
14f10b1	1.240398	3.5	discard	Muon beta2=0.99 (slightly worse)
56ee4da	1.242448	3.5	discard	Adam beta1=0.9+WD=0 (worse than beta1=0.8)
c38513b	1.235863	3.5	keep	short_window=512 (was 1024) -> 794 steps
0ae7692	1.232233	3.5	keep	short_window=256 -> 815 steps
5525083	1.228944	3.5	keep	short_window=128 -> 826 steps
54407fa	1.229419	3.5	discard	short_window=64 (plateau, slightly worse than 128)
9879bfd	1.225716	3.5	keep	SSSS pattern+short=128 -> 857 steps
95254b4	1.225849	3.5	discard	SSSS+short=64 (essentially same as short=128)
22affda	1.224656	3.5	keep	MATRIX_LR=0.04 with SSSS+short=128
1db93f6	1.225501	3.5	discard	MATRIX_LR=0.03 (0.04 is optimal)
ade2c60	1.220201	3.5	keep	DEPTH=5 SSSS+short=128 -> 971 steps
c9a890f	1.214080	1.5	keep	DEPTH=4 dim=256 SSSS+short=128 -> 1973 steps
8988c7d	1.225370	1.5	discard	DEPTH=3 dim=256 too shallow (only 2S+1L layers)
