Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSSS'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 12,582,912
  lm_head                 : 2,097,152
  transformer_matrices    : 4,718,976
  scalars                 : 12
  total                   : 21,496,204
Estimated FLOPs per token: 4.915430e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010792 | lrm: 1.00 | dt: 9090ms | tok/sec: 3,604 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.946427 | lrm: 1.00 | dt: 201ms | tok/sec: 163,419 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.667118 | lrm: 1.00 | dt: 202ms | tok/sec: 162,372 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.374587 | lrm: 1.00 | dt: 203ms | tok/sec: 161,167 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.130298 | lrm: 1.00 | dt: 204ms | tok/sec: 160,658 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.904908 | lrm: 1.00 | dt: 205ms | tok/sec: 159,714 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.708995 | lrm: 1.00 | dt: 205ms | tok/sec: 159,970 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.537808 | lrm: 1.00 | dt: 205ms | tok/sec: 160,220 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.381361 | lrm: 1.00 | dt: 204ms | tok/sec: 160,979 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.243413 | lrm: 1.00 | dt: 204ms | tok/sec: 160,291 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.119427 | lrm: 1.00 | dt: 205ms | tok/sec: 160,139 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.001260 | lrm: 1.00 | dt: 204ms | tok/sec: 160,513 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.903204 | lrm: 1.00 | dt: 204ms | tok/sec: 160,752 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.807412 | lrm: 1.00 | dt: 204ms | tok/sec: 160,376 | mfu: 0.8% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.716710 | lrm: 1.00 | dt: 204ms | tok/sec: 160,402 | mfu: 0.8% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.642219 | lrm: 1.00 | dt: 205ms | tok/sec: 159,924 | mfu: 0.8% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 6.567293 | lrm: 1.00 | dt: 204ms | tok/sec: 160,872 | mfu: 0.8% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 6.500321 | lrm: 1.00 | dt: 205ms | tok/sec: 160,100 | mfu: 0.8% | epoch: 1 | remaining: 299s    
step 00018 (0.5%) | loss: 6.448006 | lrm: 1.00 | dt: 205ms | tok/sec: 159,860 | mfu: 0.8% | epoch: 1 | remaining: 298s    
step 00019 (0.5%) | loss: 6.383657 | lrm: 1.00 | dt: 205ms | tok/sec: 160,087 | mfu: 0.8% | epoch: 1 | remaining: 298s    
step 00020 (0.6%) | loss: 6.339423 | lrm: 1.00 | dt: 204ms | tok/sec: 160,904 | mfu: 0.8% | epoch: 1 | remaining: 298s    
step 00021 (0.7%) | loss: 6.280224 | lrm: 1.00 | dt: 204ms | tok/sec: 160,397 | mfu: 0.8% | epoch: 1 | remaining: 298s    
step 00022 (0.7%) | loss: 6.242304 | lrm: 1.00 | dt: 205ms | tok/sec: 159,913 | mfu: 0.8% | epoch: 1 | remaining: 298s    
step 00023 (0.8%) | loss: 6.195449 | lrm: 1.00 | dt: 204ms | tok/sec: 160,476 | mfu: 0.8% | epoch: 1 | remaining: 297s    
step 00024 (0.9%) | loss: 6.156205 | lrm: 1.00 | dt: 204ms | tok/sec: 160,800 | mfu: 0.8% | epoch: 1 | remaining: 297s    
step 00025 (1.0%) | loss: 6.117325 | lrm: 1.00 | dt: 205ms | tok/sec: 159,908 | mfu: 0.8% | epoch: 1 | remaining: 297s    
step 00026 (1.0%) | loss: 6.075588 | lrm: 1.00 | dt: 205ms | tok/sec: 159,717 | mfu: 0.8% | epoch: 1 | remaining: 297s    
step 00027 (1.1%) | loss: 6.051865 | lrm: 1.00 | dt: 205ms | tok/sec: 160,073 | mfu: 0.8% | epoch: 1 | remaining: 297s    
step 00028 (1.2%) | loss: 6.013207 | lrm: 1.00 | dt: 204ms | tok/sec: 160,660 | mfu: 0.8% | epoch: 1 | remaining: 296s    
step 00029 (1.2%) | loss: 5.984037 | lrm: 1.00 | dt: 205ms | tok/sec: 159,804 | mfu: 0.8% | epoch: 1 | remaining: 296s    
step 00030 (1.3%) | loss: 5.960622 | lrm: 1.00 | dt: 205ms | tok/sec: 159,971 | mfu: 0.8% | epoch: 1 | remaining: 296s    
step 00031 (1.4%) | loss: 5.932472 | lrm: 1.00 | dt: 204ms | tok/sec: 160,543 | mfu: 0.8% | epoch: 1 | remaining: 296s    
step 00032 (1.4%) | loss: 5.905252 | lrm: 1.00 | dt: 204ms | tok/sec: 160,554 | mfu: 0.8% | epoch: 1 | remaining: 296s    
step 00033 (1.5%) | loss: 5.881019 | lrm: 1.00 | dt: 205ms | tok/sec: 159,558 | mfu: 0.8% | epoch: 1 | remaining: 295s    
step 00034 (1.6%) | loss: 5.858834 | lrm: 1.00 | dt: 205ms | tok/sec: 160,009 | mfu: 0.8% | epoch: 1 | remaining: 295s    
step 00035 (1.6%) | loss: 5.838058 | lrm: 1.00 | dt: 205ms | tok/sec: 159,758 | mfu: 0.8% | epoch: 1 | remaining: 295s    
step 00036 (1.7%) | loss: 5.814286 | lrm: 1.00 | dt: 205ms | tok/sec: 159,955 | mfu: 0.8% | epoch: 1 | remaining: 295s    
step 00037 (1.8%) | loss: 5.803640 | lrm: 1.00 | dt: 205ms | tok/sec: 159,936 | mfu: 0.8% | epoch: 1 | remaining: 294s    
step 00038 (1.8%) | loss: 5.783367 | lrm: 1.00 | dt: 204ms | tok/sec: 160,514 | mfu: 0.8% | epoch: 1 | remaining: 294s    
step 00039 (1.9%) | loss: 5.761261 | lrm: 1.00 | dt: 205ms | tok/sec: 160,133 | mfu: 0.8% | epoch: 1 | remaining: 294s    
step 00040 (2.0%) | loss: 5.745234 | lrm: 1.00 | dt: 205ms | tok/sec: 160,078 | mfu: 0.8% | epoch: 1 | remaining: 294s    
step 00041 (2.0%) | loss: 5.725822 | lrm: 1.00 | dt: 205ms | tok/sec: 159,928 | mfu: 0.8% | epoch: 1 | remaining: 294s    
step 00042 (2.1%) | loss: 5.711022 | lrm: 1.00 | dt: 205ms | tok/sec: 160,097 | mfu: 0.8% | epoch: 1 | remaining: 293s    
step 00043 (2.2%) | loss: 5.689200 | lrm: 1.00 | dt: 205ms | tok/sec: 159,693 | mfu: 0.8% | epoch: 1 | remaining: 293s    
step 00044 (2.3%) | loss: 5.667690 | lrm: 1.00 | dt: 205ms | tok/sec: 159,836 | mfu: 0.8% | epoch: 1 | remaining: 293s    
step 00045 (2.3%) | loss: 5.651009 | lrm: 1.00 | dt: 204ms | tok/sec: 160,494 | mfu: 0.8% | epoch: 1 | remaining: 293s    
step 00046 (2.4%) | loss: 5.623311 | lrm: 1.00 | dt: 204ms | tok/sec: 160,267 | mfu: 0.8% | epoch: 1 | remaining: 293s    
